participant_id,condition,fastq_1,fastq_2,files,type
DRR016125,mock,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016125/DRR016125_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016125/DRR016125_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-0/DRR016125_1.tar.gz,wild
DRR016126,ABA,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016126/DRR016126_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016126/DRR016126_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-1/DRR016126_1.tar.gz,wild
DRR016127,saline,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016127/DRR016127_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016127/DRR016127_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-2/DRR016127_1.tar.gz,wild
DRR016128,dehydration,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016128/DRR016128_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016128/DRR016128_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-3/DRR016128_1.tar.gz,wild
DRR016129,mock,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016129/DRR016129_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016129/DRR016129_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-4/DRR016129_1.tar.gz,ros1-3
DRR016130,ABA,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016130/DRR016130_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016130/DRR016130_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-5/DRR016130_1.tar.gz,ros1-3
DRR016131,saline,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016131/DRR016131_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016131/DRR016131_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-6/DRR016131_1.tar.gz,ros1-3
DRR016132,dehydration,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016132/DRR016132_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016132/DRR016132_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-7/DRR016132_1.tar.gz,ros1-3
DRR016133,mock,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016133/DRR016133_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016133/DRR016133_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-8/DRR016133_1.tar.gz,dml2;3
DRR016134,ABA,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016134/DRR016134_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016134/DRR016134_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-9/DRR016134_1.tar.gz,dml2;3
DRR016135,saline,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016135/DRR016135_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016135/DRR016135_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-10/DRR016135_1.tar.gz,dml2;3
DRR016136,dehydration,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016136/DRR016136_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016136/DRR016136_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-11/DRR016136_1.tar.gz,dml2;3
DRR016137,mock,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016137/DRR016137_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016137/DRR016137_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-12/DRR016137_1.tar.gz,ros1dml2;3
DRR016138,ABA,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016138/DRR016138_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016138/DRR016138_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-13/DRR016138_1.tar.gz,ros1dml2;3
DRR016139,saline,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016139/DRR016139_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016139/DRR016139_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-14/DRR016139_1.tar.gz,ros1dml2;3
DRR016140,dehydration,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016140/DRR016140_1.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/data/DRR016140/DRR016140_2.fastq.gz,gs://fc-78b3af8a-a1d5-4c43-9a84-4b9036230184/fb8e35b7-df5d-49e6-affa-9893aaeebf37/salmon/1af8ac17-edfa-4729-b7ca-35fd7213d18f/call-salmon_quant/shard-15/DRR016140_1.tar.gz,ros1dml2;3